id,filename,title,category,audience,summary,tags
PA-01,PA-01_Reciprocal-Coverage-Agreement.pdf,Reciprocal Coverage Agreement,Coverage & Continuity,Psychologists · Psychiatrists,Two-clinician reciprocal coverage agreement with per-patient coverage summary and post-coverage debrief.,coverage; continuity of care; vacation coverage; ethics; agreement; private practice; group practice; psychology; psychiatry
PA-02,PA-02_Extended-Leave-Coverage-and-Handoff-Pack.pdf,Extended Leave Coverage Plan & Clinical Handoff Pack,Coverage & Continuity,Psychologists · Psychiatrists,Step-by-step plan and letter templates for stepping away from practice for more than two weeks without stranding patients.,extended leave; parental leave; medical leave; sabbatical; handoff; continuity of care; patient letters; caseload triage
PA-03,PA-03_Professional-Will-and-Succession-Plan.pdf,Professional Will & Practice Succession Plan,Coverage & Continuity,Psychologists · Psychiatrists,"Professional will template, practice continuity inventory, executor acceptance and consent-form language.",professional will; succession planning; incapacity; death of clinician; records custodian; practice closure; ethics; continuity of care
PA-04,PA-04_Peer-Consultation-Group-Charter.pdf,Peer Consultation Group Charter,Consultation & Collaboration,Psychologists · Psychiatrists,"Charter, member agreement, 90-minute agenda, consultation log and quarterly health check for a peer consultation group.",peer consultation; consultation group; confidentiality; ethics; case presentation; group charter; AI transcription
PA-05,PA-05_Case-Consultation-Presentation-Template.pdf,Case Consultation Presentation Template,Consultation & Collaboration,Psychologists · Psychiatrists,"De-identified case presentation form, de-identification checklist, ethics decision steps and consultation response sheet.",case consultation; case presentation; de-identification; ethics decision-making; peer consultation; treatment impasse; risk; medication question
PA-06,PA-06_Clinical-Supervision-Agreement-and-Log.pdf,Clinical Supervision Agreement & Session Log,Consultation & Collaboration,Psychologists · Psychiatrists,"Supervision agreement, session log and competency-based quarterly evaluation form for licensure, postdoctoral or consultative supervision.",clinical supervision; postdoctoral supervision; licensure hours; supervisor; supervisee; evaluation; agreement; telesupervision
PA-07,PA-07_Referral-Termination-and-Transfer-of-Care-Toolkit.pdf,"Referral, Termination & Transfer-of-Care Toolkit",Coverage & Continuity,Psychologists · Psychiatrists,"Referral, acceptance/decline and close-the-loop letters; six termination letter templates; discharge summary; records-request templates.",referral; termination; discharge summary; transfer of care; abandonment; records request; lost to follow-up; closing the loop
PA-08,PA-08_Split-Treatment-Collaboration-Agreement.pdf,Split-Treatment Collaboration Agreement,Consultation & Collaboration,Psychiatrists · Psychologists,"Prescriber–therapist collaboration agreement, patient acknowledgment and communication log for shared treatment.",split treatment; collaborative care; psychiatrist; psychologist; medication management; communication; release of information; suicide risk
PA-09,PA-09_Informed-Consent-for-Psychotherapy.pdf,Informed Consent for Psychotherapy (Adult),Clinical Practice,Psychologists · Psychiatrists,"Adult psychotherapy informed consent with optional modules for couples/family, minors, assessment and group, plus a customization checklist.",informed consent; psychotherapy; confidentiality; limits of confidentiality; mandated reporting; onboarding; ethics
PA-10,PA-10_Telepsychology-Consent-and-Multi-State-Checklist.pdf,Telepsychology Consent & Multi-State Practice Checklist,Clinical Practice,Psychologists · Psychiatrists,"Telehealth consent addendum, location verification, pre-session checklist and multi-state licensure/PSYPACT decision flow.",telehealth; telepsychology; PSYPACT; interstate practice; licensure; informed consent; location verification; emergency plan
PA-11,PA-11_AI-Scribe-and-AI-Tools-Consent-Vetting-and-Policy.pdf,"AI Scribe & AI Tools: Consent, Vendor Vetting & Practice Policy",Clinical Practice,Psychologists · Psychiatrists,"Patient consent for AI documentation tools, vendor due-diligence checklist, practice AI policy and AI-drafted note attestation.",AI; AI scribe; ambient documentation; consent; HIPAA; business associate agreement; recording; vendor vetting; documentation
PA-12,PA-12_Clinical-Documentation-Pack.pdf,"Clinical Documentation Pack: Intake, Treatment Plan & Progress Notes",Clinical Practice,Psychologists · Psychiatrists,"Biopsychosocial intake, MSE, SMART treatment plan, SOAP/DAP/BIRP progress notes with examples, note-quality checklist and free measures reference.",documentation; progress notes; SOAP; DAP; BIRP; treatment plan; biopsychosocial; intake; psychotherapy notes; open notes; Cures Act; medical necessity
PA-13,PA-13_Suicide-Risk-Safety-Planning-and-Follow-Up-Pack.pdf,"Suicide Risk Assessment, Safety Planning & Follow-Up Pack",Clinical Practice,Psychologists · Psychiatrists,"Risk formulation form, six-step safety plan (patient-facing), lethal means counseling guide, follow-up protocol, duty-to-protect state worksheet, and post-loss checklist.",suicide risk; safety plan; risk assessment; lethal means; duty to protect; crisis; 988; follow-up; documentation; postvention
PA-14,PA-14_Telepsychiatry-and-Controlled-Substance-Compliance-Kit.pdf,Telepsychiatry & Controlled-Substance Prescribing Compliance Kit,Regulatory & Compliance,Psychiatrists · Prescribing clinicians · Collaborating psychologists,"DEA telemedicine status and contingency plan, prescribing checklist, documentation elements, controlled-substance treatment agreement and patient notice letter.",telepsychiatry; DEA; controlled substances; Ryan Haight; telemedicine; PDMP; EPCS; stimulants; benzodiazepines; buprenorphine; prescribing
PA-15,PA-15_Financial-Policy-Good-Faith-Estimate-and-Superbill-Pack.pdf,"Financial Policy, Good Faith Estimate & Superbill Pack",Business & Practice Management,Psychologists · Psychiatrists · Group practices,"Patient financial policy, Good Faith Estimate template with timing rules, superbill template with common codes, and a fee-setting worksheet.",financial policy; fees; good faith estimate; No Surprises Act; superbill; out-of-network; cancellation policy; CPT; self-pay; sliding scale
PA-16,PA-16_Group-Practice-Clinician-Agreement-Builder.pdf,Group Practice Clinician Agreement Builder & Onboarding Kit,Business & Practice Management,Group practice owners · Clinicians joining a group · Psychologists · Psychiatrists,"Model comparison, classification warning, term sheet, clause guide, onboarding checklist, and joint patient notice for a clinician departure.",group practice; independent contractor; employee; compensation; non-compete; non-solicitation; onboarding; credentialing; departure; patient notice; records custody
PA-17,PA-17_Privacy-Notice-and-Release-of-Information-Pack.pdf,HIPAA Privacy Notice & Release of Information Pack,Regulatory & Compliance,Psychologists · Psychiatrists · Group practices,"Model Notice of Privacy Practices, acknowledgment, HIPAA-compliant authorization forms (general and psychotherapy notes), records-request response letters, and a who-is-asking guide.",HIPAA; notice of privacy practices; release of information; authorization; right of access; psychotherapy notes; Part 2; records request; confidentiality; minors
PA-18,PA-18_HIPAA-Security-Risk-Analysis-and-Breach-Response-Kit.pdf,HIPAA Security Risk Analysis & Breach Response Kit,Regulatory & Compliance,Psychologists · Psychiatrists · Group practices,"Small-practice security risk analysis worksheet with example, safeguards checklist, business associate checklist, breach decision and notification guide, and incident log.",HIPAA; Security Rule; risk analysis; breach notification; ransomware; encryption; multi-factor authentication; business associate; incident response; cybersecurity
PA-19,PA-19_Practice-Compliance-Calendar-and-Renewal-Tracker.pdf,Practice Compliance Calendar & Renewal Tracker,Regulatory & Compliance,Psychologists · Psychiatrists · Group practices,"Master renewal tracker, annual compliance calendar, quarterly review agenda, and record retention and destruction log.",compliance; license renewal; CAQH; DEA; PSYPACT; continuing education; malpractice; record retention; destruction log; annual calendar
PA-20,PA-20_Subpoena-Court-Order-and-Records-Request-Response-Guide.pdf,"Subpoenas, Court Orders & Legal Requests: A Response Guide",Regulatory & Compliance,Psychologists · Psychiatrists · Group practices,"Decision table for subpoenas and legal requests, first-hour steps, intake log, letters to attorney and patient, treating-clinician role statement, and licensing board complaint checklist.",subpoena; court order; privilege; HIPAA; psychotherapy notes; Part 2; custody; testimony; forensic role; licensing board complaint; legal requests
